Text#, Origin_Text, Adversarial_Text, Origin_Mean, Origin_std, NoiseCoeff, SNR(db), Corr_O_A, Corr_O_R, Corr_A_R, ConsistentByText, ConsistentByCorr_A_R, 
276, the first Minister of State or the richest merchant in London, the first minister of state or the richest meaning london,  0.00,  0.14, 30, 29.53,  0.999443,  0.02,  0.02, 0, 0, 
277, So with the three passengers shut up in the narrow compass of one lumbering old mail coach, so with the three passengers shut up in the narrow compass of wind lumbering old mail coach, -0.00,  0.15, 610, 55.69,  0.999999,  0.10,  0.10, 0, 0, 
278, they were mysteries to one another as complete as if each had been in his own coach and six, they were mysteries to one another as complete as if he had been in his own coach and six,  0.00,  0.14, 610, 55.70,  0.999999,  0.06,  0.06, 0, 0, 
279, or his own coach and sixty with the breadth of a county between him and the next, or his unpelsansixty with the breath of a county between him and the next, -0.00,  0.13, 610, 55.69,  0.999999,  0.04,  0.04, 0, 0, 
280, The messenger rode back at an easy trot stopping pretty often at ale houses by the way to drink, the messenger went at a heneasytrotstoppingprettyoftenathealhouseisby the way to drink,  0.00,  0.14, 610, 55.75,  0.999999,  0.05,  0.05, 0, 0, 
281, but evincing a tendency to keep his own counsel and to keep his hat cocked over his eyes, but even in a tendency to keep his own counsel and to keep his head caught over his eyes,  0.00,  0.13, 610, 55.69,  0.999999,  0.02,  0.02, 0, 0, 
282, He had eyes that assorted very well with that decoration being of a surface black, he had i that a sworded very well with that the duration being of a surface black, -0.00,  0.14, 610, 55.70,  0.999999,  0.04,  0.04, 0, 0, 
283, with no depth in the colour or form and much too near together, with no deck in the colour or form and much too near together, -0.00,  0.15, 490, 53.78,  0.999998, -0.03, -0.03, 0, 0, 
284, as if they were afraid of being found out in something, as if they were a ray of being found out in something,  0.00,  0.14, 610, 55.69,  0.999999, -0.01, -0.01, 0, 0, 
285, singly if they kept too far apart, simply if they kept too far apart,  0.00,  0.14, 50, 33.95,  0.999799,  0.12,  0.12, 0, 0, 
286, They had a sinister expression under an old cocked hat like a three cornered spittoon, they have a sinister express in under a little cock hat like a three corners be to,  0.00,  0.14, 610, 55.73,  0.999999, -0.00, -0.00, 0, 0, 
287, and over a great muffler for the chin and throat, and over a great muffler for the two men froat,  0.00,  0.15, 610, 55.68,  0.999999,  0.01,  0.01, 0, 0, 
288, which descended nearly to the wearer's knees, which descended nearly to the wars nee,  0.00,  0.15, 610, 55.70,  0.999999, -0.01, -0.01, 0, 0, 
289, When he stopped for drink he moved this muffler with his left hand, when he stopped for drinking moved this muffler with his left hand, -0.00,  0.14, 610, 55.71,  0.999999,  0.06,  0.06, 0, 0, 
290, only while he poured his liquor in with his right as soon as that was done, only while he poured his liquor and with his riesiessthatwasdone, -0.00,  0.15, 610, 55.67,  0.999999, -0.03, -0.03, 0, 0, 
291, he muffled again it wouldn't suit your line of business, he muffled again it withinsuthyourline of business, -0.00,  0.14, 610, 55.69,  0.999999, -0.07, -0.07, 0, 0, 
292, Bust me if I don't think he'd been a drinking, thus me as i don't think he'd been a drinking,  0.00,  0.14, 610, 55.66,  0.999999,  0.04,  0.04, 0, 0, 
293, His message perplexed his mind to that degree that he was fain, his message preplextd his mind to that degree that he was fain,  0.00,  0.13, 190, 45.54,  0.999986,  0.02,  0.02, 0, 0, 
294, several times to take off his hat to scratch his head, several times to take off his hat to press his head, -0.00,  0.12, 70, 36.90,  0.999898, -0.01, -0.01, 0, 0, 
295, Except on the crown which was raggedly bald, it sat on the crown which was rapidly dulled,  0.00,  0.14, 610, 55.67,  0.999999,  0.01,  0.01, 0, 0, 
296, he had stiff black hair, he had stiff left hair, -0.00,  0.12, 110, 40.86,  0.999959,  0.02,  0.02, 0, 0, 
297, standing jaggedly all over it and growing down hill almost to his broad blunt nose, standing jacedryalloveraendfrolingdownhelalmost to his broad blunt nose, -0.00,  0.16, 610, 55.69,  0.999999,  0.02,  0.02, 0, 0, 
298, It was so like Smith's work so much more like the top of a strongly spiked wall than a head of hair, it was so like me work so much more like the top of a strongly spite wall than the head of hair, -0.00,  0.14, 610, 55.72,  0.999999, -0.02, -0.02, 0, 0, 
299, that the best of players at leap frog might have declined him as the most dangerous man in the world to go over, that the best of players at leap frog might have declined to miss the most dangerous man in the world to go over, -0.00,  0.15, 610, 55.75,  0.999999, -0.09, -0.09, 0, 0, 
300, While he trotted back with the message he was to deliver to the night watchman in his box at the door of Tellson's Bank, while he trotted at with the message he was to deliver to the night was man in his box at the door of telson's bank, -0.00,  0.14, 610, 55.65,  0.999999, -0.00, -0.00, 0, 0, 
301, by Temple Bar who was to deliver it to greater authorities within, by temple bar u was to deliver it to greater thor this with,  0.00,  0.15, 610, 55.74,  0.999999, -0.02, -0.02, 0, 0, 
302, the shadows of the night took such shapes to him as arose out of the message, the savans of the nights of such shades to him as a rose out of the message,  0.00,  0.13, 610, 55.70,  0.999999, -0.07, -0.07, 0, 0, 
303, and took such shapes to the mare as arose out of _her_ private topics of uneasiness, and to a shade to the marris rose out of undersportherundersporttryveitopitsofvanneasiness,  0.00,  0.14, 610, 55.73,  0.999999, -0.00, -0.00, 0, 0, 
304, They seemed to be numerous for she shied at every shadow on the road, they seemed to be numerous for she said that every satan the road, -0.00,  0.15, 610, 55.66,  0.999999,  0.00,  0.00, 0, 0, 
305, What time the mail coach lumbered, what time the mail coat lumbered,  0.00,  0.15, 610, 55.74,  0.999999, -0.02, -0.02, 0, 0, 
306, jolted rattled and bumped upon its tedious way, till i rattled and bumped upon this tedious lay, -0.00,  0.14, 610, 55.63,  0.999999, -0.01, -0.01, 0, 0, 
307, with its three fellow inscrutables inside, with its three fellow in screw tables inside, -0.00,  0.13, 610, 55.67,  0.999999, -0.01, -0.01, 0, 0, 
308, To whom likewise the shadows of the night revealed themselves, to them like life the shadows of the night revealed themselves,  0.00,  0.14, 610, 55.72,  0.999999, -0.02, -0.02, 0, 0, 
309, in the forms their dozing eyes and wandering thoughts suggested, in the form there dosing eyes and wondering thought suggested, -0.00,  0.14, 610, 55.71,  0.999999,  0.00,  0.00, 0, 0, 
310, Tellson's Bank had a run upon it in the mail, else in spain he the run the pontet in the val,  0.00,  0.15, 610, 55.72,  0.999999, -0.04, -0.04, 0, 0, 
311, As the bank passenger with an arm drawn through the leathern strap, as the bank passenger with an arm drawn forth the leathern straps,  0.00,  0.14, 70, 36.89,  0.999898,  0.01,  0.01, 0, 0, 
312, which did what lay in it to keep him from pounding against the next passenger, which the war lay in it to take him from pounding against the next passenger,  0.00,  0.14, 610, 55.70,  0.999999, -0.02, -0.02, 0, 0, 
313, and driving him into his corner whenever the coach got a special jolt nodded in his place, and driving him into his corner whenever the coach got a special gold nodded in his place,  0.00,  0.14, 610, 55.70,  0.999999,  0.08,  0.08, 0, 0, 
314, with half shut eyes the little coach windows, with half shut eyes the little coat were to,  0.00,  0.14, 610, 55.68,  0.999999, -0.01, -0.01, 0, 0, 
315, and the coach lamp dimly gleaming through them, and the coatlambedthimlygllyeingthrough them,  0.00,  0.15, 610, 55.72,  0.999999,  0.03,  0.03, 0, 0, 
316, and the bulky bundle of opposite passenger, and the bolti bundle of opposite passenger, -0.00,  0.14, 610, 55.74,  0.999999,  0.00,  0.00, 0, 0, 
317, became the bank and did a great stroke of business, became the bank any the great stroke of business, -0.00,  0.14, 610, 55.74,  0.999999,  0.00,  0.00, 0, 0, 
318, The rattle of the harness was the chink of money, the rattle of the harness was the tink of money, -0.00,  0.14, 70, 36.88,  0.999897, -0.12, -0.12, 0, 0, 
319, and more drafts were honoured in five minutes than even Tellson's, and more dressed for one in five minutes than even fell since, -0.00,  0.15, 610, 55.69,  0.999999,  0.15,  0.15, 0, 0, 
320, with all its foreign and home connection ever paid in thrice the time, with all its foreign and home for nextionevercatinfrice the time, -0.00,  0.14, 610, 55.69,  0.999999, -0.08, -0.08, 0, 0, 
321, Then the strong rooms underground, then the straw rooms under ground, -0.00,  0.14, 590, 55.44,  0.999999,  0.02,  0.02, 0, 0, 
322, at Tellson's with such of their valuable stores and secrets as were known to the passenger, i felt since with such of their valuable stores and sea front as were known to the passenger,  0.00,  0.13, 610, 55.71,  0.999999,  0.01,  0.01, 0, 0, 
323, and it was not a little that he knew about them, and if one is not a little that he knew about them,  0.00,  0.15, 30, 29.49,  0.999438, -0.15, -0.15, 0, 0, 
324, opened before him and he went in among them with the great keys and the feebly burning candle, opened before him and he went in the man them with the great peace and the feebly burning candle, -0.00,  0.15, 610, 55.65,  0.999999, -0.12, -0.12, 0, 0, 
325, and found them safe and strong and sound and still just as he had last seen them, and found them safe and strong and sound and now just as he had last seen them,  0.00,  0.14, 30, 29.55,  0.999446, -0.04, -0.04, 0, 0, 
326, But though the bank was almost always with him, but then the tank was almost always lie in,  0.00,  0.14, 30, 29.51,  0.999440,  0.02,  0.02, 0, 0, 
327, and though the coach in a confused way like the presence of pain under an opiate was always with him, and though the coats in the confused way like the presence of cane under an ode as always with him,  0.00,  0.14, 610, 55.69,  0.999999,  0.00,  0.00, 0, 0, 
328, there was another current of impression that never ceased to run all through the night, there was another current of impression that never ceased though an all through the night, -0.00,  0.15, 150, 43.51,  0.999978, -0.03, -0.03, 0, 0, 
329, He was on his way to dig some one out of a grave, he was on his way to the ecxemblineout of the grave,  0.00,  0.14, 610, 55.64,  0.999999,  0.01,  0.01, 0, 0, 
330, Now which of the multitude of faces that showed themselves before him was the true face of the buried person, now which of the multi of the faces that showed themselves before him was the true face of the buried person,  0.00,  0.13, 610, 55.67,  0.999999,  0.05,  0.05, 0, 0, 
331, the shadows of the night did not indicate, the savans of the night did not indicate, -0.00,  0.13, 610, 55.68,  0.999999, -0.12, -0.12, 0, 0, 
332, but they were all the faces of a man of five and forty by years, but they were long the faces of the man of five and forty by years,  0.00,  0.15, 610, 55.72,  0.999999,  0.02,  0.02, 0, 0, 
333, and they differed principally in the passions they expressed, and they differ principally in the passions they express,  0.00,  0.14, 590, 55.36,  0.999999, -0.14, -0.14, 0, 0, 
334, and in the ghastliness of their worn and wasted state, and in the ghastliness of their worn and laced it state, -0.00,  0.15, 610, 55.72,  0.999999, -0.00, -0.00, 0, 0, 
335, Pride contempt defiance stubbornness submission lamentation succeeded one another so did varieties of sunken cheek cadaverous colour, i contemptdefyanctogernessofmissinlymentationsitseted when another so did the riots of some conceit forghetherescolor, -0.00,  0.14, 610, 55.73,  0.999999, -0.02, -0.02, 0, 0, 
336, emaciated hands and figures, i may see it at hand and fiters, -0.00,  0.14, 610, 55.71,  0.999999, -0.04, -0.04, 0, 0, 
337, But the face was in the main one face and every head was prematurely white, but the face was in the main in face and every head was three materilywhite,  0.00,  0.14, 610, 55.71,  0.999999, -0.03, -0.03, 0, 0, 
338, A hundred times the dozing passenger inquired of this spectre, a hundred signs the basing passenger and claire of this spectre, -0.00,  0.14, 610, 55.68,  0.999999, -0.04, -0.04, 0, 0, 
339, Buried how long The answer was always the same, there fell a long the answer was always the same,  0.00,  0.15, 610, 55.69,  0.999999, -0.03, -0.03, 0, 0, 
340, Almost eighteen years, almost a feler,  0.00,  0.16, 10, 19.99,  0.995023,  0.01,  0.01, 0, 0, 
341, You had abandoned all hope of being dug out Long ago, you have abandoned all hope of being dug out long ago, -0.00,  0.15, 610, 55.68,  0.999999, -0.13, -0.13, 0, 0, 
342, You know that you are recalled to life They tell me so, you know that they are recoltulifetheytell me so, -0.00,  0.15, 610, 55.68,  0.999999, -0.01, -0.01, 0, 0, 
343, I hope you care to live I can't say, i hope he cared to live i can't say, -0.00,  0.13, 610, 55.73,  0.999999,  0.05,  0.05, 0, 0, 
344, Shall I show her to you, sal i so her the,  0.00,  0.15, 610, 55.77,  0.999999,  0.00,  0.00, 0, 0, 
345, Will you come and see her, o you amense,  0.00,  0.14, 10, 20.03,  0.995063, -0.03, -0.03, 0, 0, 
346, The answers to this question were various and contradictory, the answers to this question were various and contributory,  0.00,  0.14, 530, 54.50,  0.999998, -0.04, -0.04, 0, 0, 
347, Sometimes the broken reply was, sam finds the broken replonge,  0.00,  0.14, 610, 55.68,  0.999999, -0.00, -0.00, 0, 0, 
348, Wait it would kill me if I saw her too soon, waited with kill me if i saw her too soon,  0.00,  0.14, 610, 55.71,  0.999999,  0.17,  0.17, 0, 0, 
349, Sometimes it was given in a tender rain of tears and then it was Take me to her, in fine it was given in a tender rain of tears and then it was take me to her,  0.00,  0.14, 610, 55.69,  0.999999,  0.04,  0.04, 0, 0, 
350, Sometimes it was staring and bewildered, in fine i will staring and bewildered, -0.00,  0.15, 610, 55.76,  0.999999,  0.01,  0.01, 0, 0, 
351, and then it was I don't know her, and then for if i don't know her,  0.00,  0.14, 10, 20.01,  0.995056,  0.03,  0.03, 0, 0, 
352, I don't understand, i don't under fan, -0.00,  0.13, 10, 19.99,  0.995029, -0.03, -0.03, 0, 0, 
353, After such imaginary discourse, after such imaginary this course,  0.00,  0.13, 50, 34.04,  0.999803,  0.01,  0.01, 0, 0, 
354, the passenger in his fancy would dig and dig, the passenger and his fancy would be vantage,  0.00,  0.14, 610, 55.71,  0.999999,  0.03,  0.03, 0, 0, 
355, dig now with a spade now with a great key now with his hands to dig this wretched creature out, tignol with a spade now with the great tea now with his hands to be this wretched creature out, -0.00,  0.13, 610, 55.69,  0.999999, -0.05, -0.05, 0, 0, 
356, Got out at last with earth hanging about his face and hair, thought out at last with her hanging about his face and hair,  0.00,  0.14, 610, 55.70,  0.999999, -0.03, -0.03, 0, 0, 
357, he would suddenly fan away to dust, he would suddenly fan away to thus, -0.00,  0.14, 70, 36.87,  0.999897, -0.03, -0.03, 0, 0, 
358, The passenger would then start to himself, the passenger with an starts to himself,  0.00,  0.13, 610, 55.75,  0.999999, -0.01, -0.01, 0, 0, 
359, and lower the window to get the reality of mist and rain on his cheek, and lower the window to get the reality of miss tant ran on his tee,  0.00,  0.15, 610, 55.75,  0.999999, -0.07, -0.07, 0, 0, 
360, Yet even when his eyes were opened on the mist and rain, yet even when his eyes were and on the mist and rain,  0.00,  0.15, 50, 34.02,  0.999802, -0.00, -0.00, 0, 0, 
361, on the moving patch of light from the lamps, on the moving patch of light from the lamp, -0.00,  0.15, 590, 55.47,  0.999999,  0.01,  0.01, 0, 0, 
362, and the hedge at the roadside retreating by jerks, and the hedge at the roadside re reading by jerks, -0.00,  0.14, 610, 55.70,  0.999999, -0.01, -0.01, 0, 0, 
363, the night shadows outside the coach would fall into the train of the night shadows within, the night saddles outside the coats with fall into the train of the night shadows within, -0.00,  0.14, 610, 55.70,  0.999999, -0.06, -0.06, 0, 0, 
364, The real Banking house by Temple Bar, the lenvantinolsifunblebar,  0.00,  0.14, 10, 19.99,  0.995028,  0.01,  0.01, 0, 0, 
365, the real business of the past day, the well business of the past day,  0.00,  0.13, 610, 55.70,  0.999999, -0.00, -0.00, 0, 0, 
366, the real strong rooms the real express sent after him, the wind strong rooms the real express sent after him,  0.00,  0.15, 610, 55.74,  0.999999,  0.02,  0.02, 0, 0, 
367, and the real message returned, and the real neces returned,  0.00,  0.14, 30, 29.53,  0.999444,  0.42,  0.42, 0, 0, 
368, would all be there Out of the midst of them, with all be there out of the midst of them,  0.00,  0.14, 610, 55.72,  0.999999,  0.06,  0.06, 0, 0, 
369, the ghostly face would rise and he would accost it again, that those lie face would rise and he with the cost i again,  0.00,  0.13, 610, 55.72,  0.999999, -0.00, -0.00, 0, 0, 
370, Buried how long Almost eighteen years, there fell a long while most eighteen years, -0.00,  0.16, 610, 55.71,  0.999999, -0.02, -0.02, 0, 0, 
371, I hope you care to live I can't say, i hope he cared to live i can't say, -0.00,  0.13, 610, 55.71,  0.999999,  0.05,  0.05, 0, 0, 
372, Dig dig dig until an impatient movement from one of the two passengers would admonish him to pull up the window, they they they can till an impatient movement from one of the two passengers with that monish him to pull up the window, -0.00,  0.14, 610, 55.72,  0.999999,  0.01,  0.01, 0, 0, 
373, draw his arm securely through the leathern strap, through all his arms eerily through the leathern strap, -0.00,  0.15, 610, 55.76,  0.999999,  0.03,  0.03, 0, 0, 
374, and speculate upon the two slumbering forms, and speculated on the two slumbering forms,  0.00,  0.14, 150, 43.52,  0.999978,  0.05,  0.05, 0, 0, 
375, until his mind lost its hold of them, and though his mind lost its hold of them,  0.00,  0.14, 610, 55.70,  0.999999, -0.07, -0.07, 0, 0, 
376, and they again slid away into the bank and the grave, and theyagainstlaveawayishoughthebankendthegrave, -0.00,  0.15, 610, 55.70,  0.999999, -0.00, -0.00, 0, 0, 
377, Buried how long Almost eighteen years, there fell a long while most eighteen years, -0.00,  0.16, 610, 55.72,  0.999999, -0.02, -0.02, 0, 0, 
378, You had abandoned all hope of being dug out Long ago, you have abandoned all hope of being dug out long ago, -0.00,  0.15, 610, 55.70,  0.999999, -0.13, -0.13, 0, 0, 
379, The words were still in his hearing as just spoken distinctly in his hearing as ever spoken words had been in his life, the words were still in his hearing as just so indistinctly in his hearing as ever spoken words had been in his life, -0.00,  0.14, 30, 29.56,  0.999447, -0.04, -0.04, 0, 0, 
380, when the weary passenger started to the consciousness of daylight, when the weary passenger started to the consciousness of the light,  0.00,  0.14, 190, 45.57,  0.999986,  0.05,  0.05, 0, 0, 
381, and found that the shadows of the night were gone, and found that the shadows of the night were a bone,  0.00,  0.14, 610, 55.72,  0.999999, -0.11, -0.11, 0, 0, 
382, He lowered the window and looked out at the rising sun, he lowered the window and look out at the rising sun, -0.00,  0.15, 610, 55.72,  0.999999,  0.01,  0.01, 0, 0, 
383, There was a ridge of ploughed land with a plough upon it where it had been left last night when the horses were unyoked beyond, there was a rage of plant land with the flower pon a larry had been left last night when the horses were union beyond, -0.00,  0.14, 610, 55.73,  0.999999, -0.03, -0.03, 0, 0, 
384, a quiet coppice wood in which many leaves of burning red and golden yellow still remained upon the trees, a qui copies were in which many waves of burning revenboldenyellow still remained upon the trees,  0.00,  0.16, 610, 55.70,  0.999999, -0.01, -0.01, 0, 0, 
385, Though the earth was cold and wet the sky was clear, though the earth was cold and wet the sty was clear,  0.00,  0.14, 610, 55.71,  0.999999, -0.06, -0.06, 0, 0, 
386, and the sun rose bright placid and beautiful, and the sun rose bright flashed an beutiful, -0.00,  0.14, 50, 33.95,  0.999799, -0.03, -0.03, 0, 0, 
387, Eighteen years said the passenger looking at the sun, eighteen years sent the passenger looking at the sun, -0.00,  0.14, 170, 44.60,  0.999983, -0.06, -0.06, 0, 0, 
388, Gracious Creator of day To be buried alive for eighteen years When the mail got successfully to Dover, races creator of day to be buried alive for eighteen years when the male gods hadcessfully to bove,  0.00,  0.15, 610, 55.73,  0.999999,  0.02,  0.02, 0, 0, 
389, in the course of the forenoon the head drawer at the Royal George Hotel opened the coach door as his custom was, in the course of the forenoon the head or at the royal george hotel opened the coach door as his custom was, -0.00,  0.15, 610, 55.72,  0.999999,  0.05,  0.05, 0, 0, 
390, He did it with some flourish of ceremony for a mail journey from London in winter was an achievement to congratulate an adventurous traveller upon, he did it with some flour is of ceremony for a male journey from london in winter was an atievementtocombratlateanthatventurous traveller upon, -0.00,  0.15, 610, 55.70,  0.999999, -0.02, -0.02, 0, 0, 
391, By that time there was only one adventurous traveller left be congratulated, by that time there was only when the venturous traveller left be congratulated,  0.00,  0.15, 610, 55.68,  0.999999, -0.01, -0.01, 0, 0, 
392, for the two others had been set down at their respective roadside destinations, for that the others had been set down that there was tactiveroadsidedestinations, -0.00,  0.14, 610, 55.67,  0.999999,  0.08,  0.08, 0, 0, 
393, The mildewy inside of the coach with its damp and dirty straw, the mill dry inside of the coach with its dam and thirty tra, -0.00,  0.14, 610, 55.74,  0.999999, -0.03, -0.03, 0, 0, 
394, its disagreeable smell and its obscurity, its disagreeable smell and its odd torte, -0.00,  0.13, 610, 55.69,  0.999999,  0.01,  0.01, 0, 0, 
395, was rather like a larger dog kennel, he is rather like a larger dog candel, -0.00,  0.15, 610, 55.69,  0.999999,  0.04,  0.04, 0, 0, 
396, Mr Lorry the passenger shaking himself out of it in chains of straw, mister lorry the passenger saving himself out of the enchains of stro, -0.00,  0.14, 30, 29.52,  0.999441, -0.00, -0.00, 0, 0, 
397, a tangle of shaggy wrapper flapping hat, a tangle of save wrapper flapping hat, -0.00,  0.13, 610, 55.71,  0.999999,  0.08,  0.08, 0, 0, 
398, and muddy legs was rather like a larger sort of dog, and mother legs was rather like a larger sort of thought, -0.00,  0.15, 610, 55.73,  0.999999, -0.05, -0.05, 0, 0, 
399, There will be a packet to Calais tomorrow drawer, there will be a packet to the late a modern door, -0.00,  0.15, 610, 55.74,  0.999999, -0.04, -0.04, 0, 0, 
400, if the weather holds and the wind sets tolerable fair, if the weather holds and the wine as for able far,  0.00,  0.14, 30, 29.52,  0.999442, -0.00, -0.00, 0, 0, 
401, The tide will serve pretty nicely at about two in the afternoon, the five all there pretty nicely at about two in the afternoon,  0.00,  0.15, 50, 33.95,  0.999799,  0.01,  0.01, 0, 0, 
402, I shall not go to bed till night, i could not go to bed till night, -0.00,  0.14, 610, 55.66,  0.999999,  0.04,  0.04, 0, 0, 
403, but I want a bedroom and a barber, but i want a baggaroomandthebargar, -0.00,  0.15, 610, 55.69,  0.999999,  0.04,  0.04, 0, 0, 
404, And then breakfast sir, in,  0.00,  0.13, 5.000000e-01, -5.97,  0.448929, -0.00,  0.00, 0, 0, 
405, Show Concord Gentleman's valise and hot water to Concord, so concortsinplemen'sthelisantahwatertoconcort, -0.00,  0.14, 610, 55.72,  0.999999, -0.02, -0.02, 0, 0, 
406, Pull off gentleman's boots in Concord, fluffed implements boots in concord, -0.00,  0.14, 610, 55.75,  0.999999,  0.01,  0.01, 0, 0, 
407, You will find a fine sea coal fire, you will find a fine sequel fire, -0.00,  0.15, 610, 55.67,  0.999999, -0.04, -0.04, 0, 0, 
408, sir Fetch barber to Concord, sir fat barber to concord, -0.00,  0.12, 610, 55.74,  0.999999,  0.22,  0.22, 0, 0, 
409, Stir about there now for Concord The Concord bed chamber being always assigned to a passenger by the mail, stir out there now for concord the concord bed chamber being always a sign to a passenger by the male, -0.00,  0.15, 610, 55.68,  0.999999, -0.02, -0.02, 0, 0, 
410, and passengers by the mail being always heavily wrapped up from head to foot, and passengers by the mail being always heavily read up from head to foot,  0.00,  0.15, 610, 55.67,  0.999999,  0.01,  0.01, 0, 0, 
411, the room had the odd interest for the establishment of the Royal George, the room had the adienterest for the establishment of the royal george,  0.00,  0.15, 610, 55.72,  0.999999,  0.08,  0.08, 0, 0, 
412, that although but one kind of man was seen to go into it, that although but when flying of men will seem to go into it, -0.00,  0.14, 610, 55.68,  0.999999,  0.01,  0.01, 0, 0, 
413, all kinds and varieties of men came out of it, all times and varieties of men came out of it,  0.00,  0.15, 610, 55.69,  0.999999, -0.00, -0.00, 0, 0, 
414, Consequently another drawer and two porters and several maids and the landlady, consequently another telorenttoporters and several maids and de land lady,  0.00,  0.15, 610, 55.69,  0.999999,  0.00,  0.00, 0, 0, 
415, were all loitering by accident at various points of the road between the Concord and the coffee room, where a long line an ring by achoenthatvarious points of the road between the concord and the coffee room,  0.00,  0.15, 610, 55.70,  0.999999, -0.04, -0.04, 0, 0, 
416, when a gentleman of sixty formally dressed in a brown suit of clothes, when a gentleman of sixty four mile dressed in a brown suit of clothes,  0.00,  0.15, 610, 55.70,  0.999999, -0.04, -0.04, 0, 0, 
417, pretty well worn but very well kept, pretty well worn but very well cast, -0.00,  0.16, 70, 36.94,  0.999899,  0.01,  0.01, 0, 0, 
418, with large square cuffs and large flaps to the pockets, we've large spare cuffs and large flaps to the pockets,  0.00,  0.13, 50, 33.94,  0.999798,  0.00,  0.00, 0, 0, 
419, passed along on his way to his breakfast, as the law on his late to his breakfast,  0.00,  0.13, 610, 55.70,  0.999999,  0.06,  0.06, 0, 0, 
420, The coffeeroom had no other occupant, the coffee room had no other opubent, -0.00,  0.14, 610, 55.69,  0.999999, -0.01, -0.01, 0, 0, 
421, that forenoon than the gentleman in brown, that for you than the gentleman in brown, -0.00,  0.15, 610, 55.75,  0.999999, -0.06, -0.06, 0, 0, 
422, His breakfast table was drawn before the fire, his breath was table was drawn before the fire,  0.00,  0.13, 90, 39.11,  0.999939, -0.05, -0.05, 0, 0, 
423, and as he sat with its light shining on him, and as he said with its light signing on him,  0.00,  0.15, 610, 55.67,  0.999999,  0.06,  0.06, 0, 0, 
424, waiting for the meal he sat so still that he might have been sitting for his portrait, lading for the meal he sat so still that he might have been sitting for his portrait, -0.00,  0.14, 70, 36.88,  0.999897, -0.25, -0.25, 0, 0, 
425, Very orderly and methodical he looked, very orderly and methodical he wooed,  0.00,  0.16, 190, 45.62,  0.999986,  0.03,  0.03, 0, 0, 
426, with a hand on each knee and a loud watch ticking a sonorous sermon under his flapped waist coat, with a hand on each knee and the land was taking a sun was sermon under his black laced coat, -0.00,  0.15, 610, 55.71,  0.999999,  0.06,  0.06, 0, 0, 
427, as though it pitted its gravity and longevity against the levity and evanescence of the brisk fire, as the lie its gravity and long every against the levity and ever essence of the brisk fire,  0.00,  0.14, 610, 55.77,  0.999999, -0.03, -0.03, 0, 0, 
428, He had a good leg and was a little vain of it, he had a good leg and was a little game of,  0.00,  0.14, 130, 42.35,  0.999971,  0.01,  0.01, 0, 0, 
429, for his brown stockings fitted sleek and close, for his brown stockings fitted sleep and close,  0.00,  0.13, 610, 55.71,  0.999999, -0.09, -0.09, 0, 0, 
430, and were of a fine texture his shoes and buckles too, and word of the fine texture his shoes and buckles too,  0.00,  0.13, 610, 55.70,  0.999999, -0.06, -0.06, 0, 0, 
431, though plain were trim, though plain word trim, -0.00,  0.14, 610, 55.66,  0.999999, -0.05, -0.05, 0, 0, 
432, He wore an odd little sleek crisp flaxen wig, he wore an oglittlesleetthriseflates and wa, -0.00,  0.14, 610, 55.74,  0.999999, -0.03, -0.03, 0, 0, 
433, setting very close to his head it is to be presumed was made of hair, said in very close to his head it is to be presumed was made of hair,  0.00,  0.14, 110, 40.79,  0.999958,  0.14,  0.14, 0, 0, 
434, but which looked far more as though it were spun from filaments of silk or glass, but we looked far more as though it were spun from filaments of silver glass,  0.00,  0.15, 610, 55.69,  0.999999,  0.00,  0.00, 0, 0, 
435, His linen though not of a fineness in accordance with his stockings, his linen oh not of the fineness in accordance with his stoppings, -0.00,  0.14, 610, 55.68,  0.999999,  0.01,  0.01, 0, 0, 
436, was as white as the tops of the waves that broke upon the neighbouring beach, when i as why does the thoughts of the waves that broke upon the neighbouring beach, -0.00,  0.14, 610, 55.72,  0.999999, -0.06, -0.06, 0, 0, 
437, or the specks of sail that glinted in the sunlight far at sea, for the space of salthatblinted in the sunlight far at sea, -0.00,  0.14, 610, 55.67,  0.999999,  0.04,  0.04, 0, 0, 
438, A face habitually suppressed and quieted, a face the betulissuppressedandclieted, -0.00,  0.13, 610, 55.71,  0.999999,  0.02,  0.02, 0, 0, 
439, was still lighted up under the quaint wig by a pair of moist bright eyes that it must have cost their owner, we are still lighted up under the plain fully by a pair of moist bride eyes that it must have cost their owner,  0.00,  0.14, 610, 55.69,  0.999999, -0.01, -0.01, 0, 0, 
440, in years gone by some pains to drill to the composed and reserved expression of Tellson's Bank, in her son by some pains to trial to the composed and reserved i expression of telson bank,  0.00,  0.13, 610, 55.71,  0.999999,  0.01,  0.01, 0, 0, 
441, He had a healthy colour in his cheeks, he had a healthy colour in his teeth, -0.00,  0.13, 30, 29.56,  0.999446, -0.01, -0.01, 0, 0, 
442, and his face though lined, and his face the line,  0.00,  0.13, 610, 55.74,  0.999999,  0.01,  0.01, 0, 0, 
443, bore few traces of anxiety, for few traces of anxiety, -0.00,  0.14, 610, 55.74,  0.999999, -0.12, -0.12, 0, 0, 
444, But perhaps the confidential bachelor clerks in Tellson's Bank were principally occupied with the cares of other people, but perhaps the confidential bachelor clerks in tellson's bank are principally occupied with the cares of other people,  0.00,  0.13, 610, 55.69,  0.999999, -0.05, -0.05, 0, 0, 
