Text#, Origin_Text, Adversarial_Text, Origin_Mean, Origin_std, NoiseCoeff, L1NormNoise, L2NormNoise, LInfNormNoise, SNR(db),Corr_O_A, Corr_O_R, Corr_A_R, ConsistentByText, ConsistentByCorr_A_R, 
213, sir He opened it in the light of the coach lamp on that side, sir he opened it in the light of the coat lamb pond that sit,  0.00,  0.14, 610, 10.073933,  0.054689,  0.001032, 55.71,  0.999999,  0.01,  0.01, 0, 0, 
214, and read first to himself and then aloud Wait at Dover for Mamselle, and we first to himself and then a long way that over from memel,  0.00,  0.14, 610, 11.518907,  0.058098,  0.001119, 55.74,  0.999999,  0.06,  0.06, 0, 0, 
215, It's not long you see, it is not long u s, -0.00,  0.15, 610,  4.434501,  0.036715,  0.001109, 55.70,  0.999999, -0.03, -0.03, 0, 0, 
216, guard Jerry say that my answer was RECALLED TO LIFE, tartary say at might answer was recultealife, -0.00,  0.14, 610, 10.072026,  0.054178,  0.001162, 55.71,  0.999999,  0.03,  0.03, 0, 0, 
217, Jerry started in his saddle, terry started in his saddle, -0.00,  0.14, 610,  5.556609,  0.040431,  0.000959, 55.76,  0.999999, -0.08, -0.08, 0, 0, 
218, That's a Blazing strange answer too said he at his hoarsest, that's a blazing strange answer to said he his forces, -0.00,  0.14, 610, 10.101969,  0.053594,  0.001026, 55.68,  0.999999,  0.03,  0.03, 0, 0, 
219, Take that message back and they will know that I received this, take that message back and they i knew that i received this, -0.00,  0.13, 590,  9.456554,  0.051712,  0.001019, 55.41,  0.999999,  0.01,  0.01, 0, 0, 
220, as well as if I wrote, as well as if i rode,  0.00,  0.15, 610,  4.891549,  0.038650,  0.000937, 55.69,  0.999999, -0.13, -0.13, 0, 0, 
221, Make the best of your way, make the best of our way,  0.00,  0.14, 610,  4.739784,  0.037279,  0.000883, 55.62,  0.999999, -0.07, -0.07, 0, 0, 
222, Good night With those words the passenger opened the coach door and got in not at all assisted by his fellow passengers, good night with those words the passenger opened the coach door and thought him not at all assisted by his fellow passengers, -0.00,  0.14, 610, 18.345038,  0.071561,  0.001041, 55.69,  0.999999, -0.12, -0.12, 0, 0, 
223, who had expeditiously secreted their watches and purses in their boots and were now making a general pretence of being asleep, he had expeditiouslysegreededtherewalhesandpersesintheirboots and were now making of general dreams of being a le, -0.00,  0.15, 610, 20.833089,  0.079302,  0.001106, 55.69,  0.999999,  0.02,  0.02, 0, 0, 
224, With no more definite purpose than to escape the hazard of originating any other kind of action, with no more definite purpose than to escape the hazard of the ragin aving any other cling of action,  0.00,  0.14, 610, 15.988285,  0.068594,  0.001032, 55.70,  0.999999,  0.00,  0.00, 0, 0, 
225, The coach lumbered on again with heavier wreaths of mist closing round it as it began the descent, the coach lumbered on again with heavier wreaths of mist closing round it as if began the descend,  0.00,  0.14, 610, 15.003513,  0.066082,  0.001101, 55.68,  0.999999,  0.03,  0.03, 0, 0, 
226, The guard soon replaced his blunderbuss in his arm chest and having looked to the rest of its contents, the tar seen replaced his blunderbuss in his arm chest and having looked to the rest of its contents,  0.00,  0.14, 610, 15.484886,  0.065704,  0.000998, 55.71,  0.999999, -0.03, -0.03, 0, 0, 
227, and having looked to the supplementary pistols that he wore in his belt looked to a smaller chest beneath his seat, and having looked to the supplementary thistles that he wore in his below to a smaller chest beneath his seat,  0.00,  0.14, 610, 17.950395,  0.072501,  0.001076, 55.70,  0.999999,  0.05,  0.05, 0, 0, 
228, in which there were a few smith's tools a couple of torches and a tinder box, in which there were a few mats to the couple of torches and the tinder box, -0.00,  0.14, 610, 12.724200,  0.060946,  0.001045, 55.70,  0.999999,  0.02,  0.02, 0, 0, 
229, For he was furnished with that completeness that if the coach lamps had been blown and stormed out, for he was furnished with a completeness that if the coat lamps had been blown and stormed out, -0.00,  0.13, 610, 14.974314,  0.064491,  0.001051, 55.67,  0.999999,  0.04,  0.04, 0, 0, 
230, which did occasionally happen he had only to shut himself up inside, which they occasionally happened he had only to shut himself up in sight, -0.00,  0.14, 610, 11.441497,  0.057256,  0.000994, 55.72,  0.999999,  0.02,  0.02, 0, 0, 
231, keep the flint and steel sparks well off the straw, hath the flimpandsteelsparks well loff the strew,  0.00,  0.13, 610,  8.214900,  0.047591,  0.000897, 55.71,  0.999999, -0.00, -0.00, 0, 0, 
232, and get a light with tolerable safety and ease in five minutes, and get a light with tolerable safety and these in five minutes,  0.00,  0.15, 610, 10.657104,  0.056571,  0.000972, 55.70,  0.999999,  0.05,  0.05, 0, 0, 
233, Tom softly over the coach roof, tom softly over the coach wot,  0.00,  0.14, 570,  7.009305,  0.046895,  0.001017, 55.10,  0.999998, -0.00, -0.00, 0, 0, 
234, Did you hear the message I did, did you hear the message i,  0.00,  0.14, 610,  5.435402,  0.039462,  0.000979, 55.70,  0.999999,  0.03,  0.03, 0, 0, 
235, Joe What did you make of it, to what did you make of it, -0.00,  0.14, 610,  4.955857,  0.037929,  0.000930, 55.61,  0.999999, -0.03, -0.03, 0, 0, 
236, Tom Nothing at all Joe, thumb nothing at all joe, -0.00,  0.15, 170, 17.111256,  0.137844,  0.003744, 44.65,  0.999983, -0.05, -0.05, 0, 0, 
237, That's a coincidence too the guard mused for I made the same of it myself, that's a polinidentsto the garden used for i made the same of it myself, -0.00,  0.14, 610, 12.557875,  0.060176,  0.001072, 55.71,  0.999999,  0.12,  0.12, 0, 0, 
238, Jerry left alone in the mist and darkness dismounted meanwhile not only to ease his spent horse but to wipe the mud from his face, terry left the loin the missandtharnessthesemounted meanwhile not only to ease his spent force but to wipe the mud from his face,  0.00,  0.15, 610, 23.188163,  0.084264,  0.001071, 55.71,  0.999999, -0.03, -0.03, 0, 0, 
239, and shake the wet out of his hat brim which might be capable of holding about half a gallon, and shake the wet out of his hat brim with my be capable of holding about half a gallon,  0.00,  0.14, 150, 56.025339,  0.252528,  0.003869, 43.53,  0.999978,  0.05,  0.05, 0, 0, 
240, After standing with the bridle over his heavily splashed arm, after standing with the bridle over his heavily lashed arm,  0.00,  0.14, 30, 213.406601,  1.127665,  0.018811, 29.52,  0.999442,  0.03,  0.03, 0, 0, 
241, until the wheels of the mail were no longer within hearing and the night was quite still again, and then the wheels of the mill were the lander with in hearing and the night was twice still again, -0.00,  0.16, 610, 15.319376,  0.070177,  0.001176, 55.73,  0.999999,  0.06,  0.06, 0, 0, 
242, he turned to walk down the hill, he turned to low on the hill, -0.00,  0.14, 30, 101.319710,  0.756010,  0.017132, 29.58,  0.999449,  0.02,  0.02, 0, 0, 
243, After that there gallop from Temple Bar, after that there gallofromtemblebar,  0.00,  0.14, 90, 48.862806,  0.310584,  0.006420, 39.08,  0.999938,  0.01,  0.01, 0, 0, 
244, old lady I won't trust your fore legs till I get you on the level said this hoarse messenger glancing at his mare, lady i won't trust your fore legs till i get you on the level said this horse messenger glancing at his mare,  0.00,  0.15, 610, 20.290682,  0.078334,  0.001154, 55.72,  0.999999,  0.01,  0.01, 0, 0, 
245, That's a Blazing strange message, that's a blazing strange lessens, -0.00,  0.13, 30, 113.558866,  0.786366,  0.020600, 29.59,  0.999451,  0.04,  0.04, 0, 0, 
246, Much of that wouldn't do for you, most of that with an de for you,  0.00,  0.14, 610,  5.303489,  0.038811,  0.001017, 55.69,  0.999999, -0.06, -0.06, 0, 0, 
247, Jerry I say Jerry You'd be in a Blazing bad way, terry i say terry you'd be in the blazing backway, -0.00,  0.15, 610,  9.664010,  0.055259,  0.001365, 55.68,  0.999999,  0.10,  0.10, 0, 0, 
248, if recalling to life was to come into fashion, if we call into life was to come into fashion, -0.00,  0.14, 610,  8.087014,  0.047507,  0.000869, 55.75,  0.999999,  0.03,  0.03, 0, 0, 
249, Jerry A wonderful fact to reflect upon, terry a wonderful fact to of left the pon,  0.00,  0.14, 610,  7.372618,  0.045912,  0.001010, 55.71,  0.999999,  0.16,  0.16, 0, 0, 
250, that every human creature is constituted to be that profound secret and mystery to every other, that every fewmancreaterisconstabuted to be that profound secret and mystery to every other, -0.00,  0.14, 610, 15.353195,  0.066155,  0.000987, 55.65,  0.999999, -0.01, -0.01, 0, 0, 
251, A solemn consideration when I enter a great city by night, the tholnconfigerasonwhenigandeablat,  0.00,  0.15, 10, 641.420206,  3.429073,  0.062344, 20.00,  0.995037,  0.02,  0.01, 0, 0, 
252, that every one of those darkly clustered houses encloses its own secret, that every one of those darkly clustered houses and close as its own secret,  0.00,  0.14, 430, 18.388446,  0.087103,  0.001628, 52.66,  0.999997,  0.07,  0.07, 0, 0, 
253, that every room in every one of them encloses its own secret, that every room and every one of them encloses its own secret, -0.00,  0.15, 190, 34.974202,  0.185476,  0.003546, 45.61,  0.999986, -0.07, -0.07, 0, 0, 
254, that every beating heart in the hundreds of thousands of breasts there, i i i i i i i, -0.00,  0.14, 5.000000e-01, 12422.632898, 65.412206,  1.323980, -6.02,  0.443837,  0.00,  0.00, 0, 0, 
255, is in some of its imaginings a secret to the heart nearest it Something of the awfulness, is in some of its imaginings a secret to the heart lies it something of the awfulness, -0.00,  0.14, 30, 280.482656,  1.274832,  0.018620, 29.56,  0.999447, -0.02, -0.02, 0, 0, 
256, even of Death itself is referable to this, even the death itself is referable to this,  0.00,  0.13, 610,  6.529999,  0.041531,  0.000888, 55.72,  0.999999,  0.10,  0.10, 0, 0, 
257, No more can I turn the leaves of this dear book that I loved, no more can i turn the leaves of this dear book that i love, -0.00,  0.15, 130, 46.588438,  0.260825,  0.005208, 42.28,  0.999970,  0.08,  0.08, 0, 0, 
258, and vainly hope in time to read it all, and family hope in sin to read it all,  0.00,  0.15, 610,  7.523840,  0.047814,  0.001013, 55.73,  0.999999,  0.02,  0.02, 0, 0, 
259, No more can I look into the depths of this unfathomable water, the more i look into the estacicenfateniewater,  0.00,  0.15, 10, 646.150189,  3.486200,  0.061410, 19.97,  0.995007, -0.03, -0.03, 0, 0, 
260, wherein as momentary lights glanced into it, weary as momentary lights glanced into it,  0.00,  0.15, 610,  9.175604,  0.053486,  0.001091, 55.72,  0.999999, -0.04, -0.04, 0, 0, 
261, I have had glimpses of buried treasure and other things submerged, i have had glances of fairy treasure in other things submerged, -0.00,  0.13, 610, 10.071938,  0.051858,  0.000949, 55.72,  0.999999, -0.00, -0.00, 0, 0, 
262, It was appointed that the book should shut with a spring, it was a pointed that the book should shefewithestrang,  0.00,  0.13, 610,  7.678354,  0.044393,  0.000869, 55.73,  0.999999, -0.01, -0.01, 0, 0, 
263, for ever and for ever when I had read but a page, for ever and for ever when i had read by the page, -0.00,  0.14, 610,  8.125195,  0.048258,  0.000994, 55.70,  0.999999,  0.06,  0.06, 0, 0, 
264, It was appointed that the water should be locked in an eternal frost, it was a pointed that the water should be locked in an eternal frost,  0.00,  0.15, 610, 10.872007,  0.056955,  0.001019, 55.73,  0.999999, -0.02, -0.02, 0, 0, 
265, when the light was playing on its surface, when the life was playing on its surface,  0.00,  0.14, 50, 81.215125,  0.526451,  0.012489, 33.94,  0.999798, -0.16, -0.16, 0, 0, 
266, and I stood in ignorance on the shore, and i still in ignorance on the shore,  0.00,  0.15, 390, 10.415507,  0.071316,  0.001571, 51.81,  0.999997,  0.00,  0.00, 0, 0, 
267, My friend is dead my neighbour is dead, my friend i set my labor i fe,  0.00,  0.15, 10, 414.840380,  2.793967,  0.062406, 19.93,  0.994960,  0.12,  0.12, 0, 0, 
268, my love the darling of my soul is dead, my left a darling of my civil is dead, -0.00,  0.15, 610,  7.364469,  0.048014,  0.001047, 55.69,  0.999999,  0.08,  0.08, 0, 0, 
269, it is the inexorable consolidation and perpetuation of the secret that was always in that individuality, it is the inexorable consolidation and purpose mation of the secret that was always in that individuality, -0.00,  0.14, 610, 17.418152,  0.071662,  0.001063, 55.75,  0.999999,  0.03,  0.03, 0, 0, 
270, and which I shall carry in mine to my life's end, and which i sail carry in my to my life's, -0.00,  0.15, 610,  9.384124,  0.052887,  0.001020, 55.70,  0.999999,  0.02,  0.02, 0, 0, 
271, In any of the burial places of this city through which I pass, in any of the barren places of the city through which i passed, -0.00,  0.14, 610, 10.490424,  0.055218,  0.001165, 55.74,  0.999999, -0.01, -0.01, 0, 0, 
272, is there a sleeper more inscrutable than its busy inhabitants are, is there a sleep or more inscrutable than its busy inhabitants are, -0.00,  0.15, 610, 11.399213,  0.058784,  0.001016, 55.68,  0.999999,  0.10,  0.10, 0, 0, 
273, in their innermost personality to me or than I am to them, in their innermost personality to me or that i am to them,  0.00,  0.15, 610, 11.357986,  0.059999,  0.001015, 55.71,  0.999999,  0.01,  0.01, 0, 0, 
274, As to this his natural and not to be alienated inheritance, as to this his natural and not to be ill unated inheritance,  0.00,  0.14, 610, 10.785188,  0.055712,  0.001076, 55.73,  0.999999,  0.04,  0.04, 0, 0, 
275, the messenger on horseback had exactly the same possessions as the King, the messenger on horseback had it safely the same possessions as the king,  0.00,  0.14, 610, 11.809902,  0.057950,  0.001002, 55.71,  0.999999,  0.14,  0.14, 0, 0, 
276, the first Minister of State or the richest merchant in London, the first move for of faithful he was to me in in london,  0.00,  0.14, 10, 586.268032,  3.168156,  0.065050, 20.02,  0.995061,  0.02,  0.02, 0, 0, 
277, So with the three passengers shut up in the narrow compass of one lumbering old mail coach, so with the three passengers shut up in the narrow compass of wind lumbering old mail coach, -0.00,  0.15, 610, 15.822253,  0.069883,  0.001094, 55.72,  0.999999,  0.10,  0.10, 0, 0, 
278, they were mysteries to one another as complete as if each had been in his own coach and six, they were mysteries to one another as complete as if he had been in his own coach and six,  0.00,  0.14, 610, 14.254833,  0.063766,  0.000964, 55.70,  0.999999,  0.06,  0.06, 0, 0, 
279, or his own coach and sixty with the breadth of a county between him and the next, or his unpelsansixty with the breath of a county between him and the next, -0.00,  0.13, 610, 12.212046,  0.057910,  0.000970, 55.74,  0.999999,  0.04,  0.04, 0, 0, 
280, The messenger rode back at an easy trot stopping pretty often at ale houses by the way to drink, the messenger went at a heneasytrotstoppingprettyoftenatthealhouseisby the way to drink,  0.00,  0.14, 610, 15.823685,  0.068421,  0.000989, 55.72,  0.999999,  0.05,  0.05, 0, 0, 
281, but evincing a tendency to keep his own counsel and to keep his hat cocked over his eyes, but even in a tendency to keep his own counsel and to keep his head caught over his eyes,  0.00,  0.13, 610, 13.714411,  0.060300,  0.000995, 55.72,  0.999999,  0.02,  0.02, 0, 0, 
282, He had eyes that assorted very well with that decoration being of a surface black, he had i that a sworded very well with that the duration being of a surface black, -0.00,  0.14, 610, 13.439322,  0.062437,  0.000970, 55.72,  0.999999,  0.04,  0.04, 0, 0, 
283, with no depth in the colour or form and much too near together, with no deck in the colour or form and much too near together, -0.00,  0.15, 590, 10.774563,  0.058299,  0.001074, 55.40,  0.999999, -0.03, -0.03, 0, 0, 
284, as if they were afraid of being found out in something, as if they were a ray of being found out in something,  0.00,  0.14, 610,  9.503383,  0.052106,  0.001014, 55.70,  0.999999, -0.01, -0.01, 0, 0, 
285, singly if they kept too far apart, singly if they get too far apart,  0.00,  0.14, 50, 79.238181,  0.517973,  0.012052, 34.04,  0.999803, -0.04, -0.04, 0, 0, 
286, They had a sinister expression under an old cocked hat like a three cornered spittoon, they have a sinister express and under a little cock hat like a three corners betune,  0.00,  0.14, 610, 14.665547,  0.065258,  0.000977, 55.71,  0.999999, -0.02, -0.02, 0, 0, 
287, and over a great muffler for the chin and throat, and over a great muffler for the two men froat,  0.00,  0.15, 610,  8.473291,  0.050318,  0.001044, 55.69,  0.999999,  0.01,  0.01, 0, 0, 
288, which descended nearly to the wearer's knees, which descended nearly to the wars nee,  0.00,  0.15, 610,  7.899631,  0.049792,  0.001055, 55.72,  0.999999, -0.01, -0.01, 0, 0, 
289, When he stopped for drink he moved this muffler with his left hand, when he stopped for drinking moved this muffler with his left hand, -0.00,  0.14, 610, 11.072805,  0.056222,  0.000975, 55.72,  0.999999,  0.06,  0.06, 0, 0, 
290, only while he poured his liquor in with his right as soon as that was done, only while he poured his liquor and with his riesiessthatwasdone, -0.00,  0.15, 610, 12.671273,  0.061669,  0.001100, 55.71,  0.999999, -0.03, -0.03, 0, 0, 
291, he muffled again it wouldn't suit your line of business, he muffled again it withinsuteyorlineof business, -0.00,  0.14, 610,  8.469917,  0.049190,  0.000979, 55.74,  0.999999,  0.02,  0.02, 0, 0, 
292, Bust me if I don't think he'd been a drinking, thus me as i don't think he'd been a drinking,  0.00,  0.14, 610,  7.119043,  0.045195,  0.001005, 55.72,  0.999999,  0.04,  0.04, 0, 0, 
293, His message perplexed his mind to that degree that he was fain, his message preplectd his mind to that degree that he was a fain,  0.00,  0.13, 170, 34.682678,  0.179457,  0.003085, 44.61,  0.999983, -0.07, -0.07, 0, 0, 
294, several times to take off his hat to scratch his head, several times to take off his hat to press his head, -0.00,  0.12, 50, 97.480551,  0.538032,  0.010105, 34.01,  0.999802, -0.01, -0.01, 0, 0, 
295, Except on the crown which was raggedly bald, it sat on the crown which was rapidly dulled,  0.00,  0.14, 610,  7.663161,  0.046881,  0.000932, 55.70,  0.999999,  0.01,  0.01, 0, 0, 
296, he had stiff black hair, he had stiff left hair, -0.00,  0.12, 110, 23.973300,  0.181986,  0.005159, 40.86,  0.999959,  0.02,  0.02, 0, 0, 
297, standing jaggedly all over it and growing down hill almost to his broad blunt nose, standing japedryall over a and foiling down he almost to his broad blunt nose, -0.00,  0.16, 610, 15.860020,  0.071330,  0.001174, 55.67,  0.999999,  0.02,  0.02, 0, 0, 
298, It was so like Smith's work so much more like the top of a strongly spiked wall than a head of hair, it was so like me work so much more like the top of a strongly spite wall than the head of hair, -0.00,  0.14, 610, 17.217623,  0.071620,  0.001040, 55.68,  0.999999, -0.02, -0.02, 0, 0, 
299, that the best of players at leap frog might have declined him as the most dangerous man in the world to go over, that the best of players at leap frog might have declined to miss the most dangerous man in the world to go over, -0.00,  0.15, 610, 18.883673,  0.075649,  0.001127, 55.68,  0.999999, -0.09, -0.09, 0, 0, 
300, While he trotted back with the message he was to deliver to the night watchman in his box at the door of Tellson's Bank, while he trotted at with the message he was to deliver to the night bateman in his box at the door of the son's bank, -0.00,  0.14, 610, 18.081466,  0.071908,  0.001034, 55.70,  0.999999,  0.03,  0.03, 0, 0, 
301, by Temple Bar who was to deliver it to greater authorities within, by temple bar u was to deliver it to greater thor this within,  0.00,  0.15, 610, 11.309869,  0.059383,  0.001085, 55.69,  0.999999, -0.02, -0.02, 0, 0, 
302, the shadows of the night took such shapes to him as arose out of the message, the savans of the nights of such shades to him as a rose out of the message,  0.00,  0.13, 610, 10.909503,  0.054473,  0.000991, 55.71,  0.999999, -0.07, -0.07, 0, 0, 
303, and took such shapes to the mare as arose out of _her_ private topics of uneasiness, and to a shade to the marris rose out of undersportherundersportfryveitopitsofvaneasiness,  0.00,  0.14, 610, 17.712974,  0.072136,  0.000972, 55.69,  0.999999, -0.01, -0.01, 0, 0, 
304, They seemed to be numerous for she shied at every shadow on the road, they seemed to be numerous for she said that every satan the road, -0.00,  0.15, 610, 11.520282,  0.059952,  0.001036, 55.67,  0.999999,  0.00,  0.00, 0, 0, 
305, What time the mail coach lumbered, love in the mail coat lumber,  0.00,  0.15, 610,  6.662280,  0.045627,  0.001085, 55.66,  0.999999, -0.00, -0.00, 0, 0, 
306, jolted rattled and bumped upon its tedious way, till i rattle and bump upon his tedious lay, -0.00,  0.14, 610,  8.336764,  0.048504,  0.001041, 55.73,  0.999999,  0.02,  0.02, 0, 0, 
307, with its three fellow inscrutables inside, with its three fellow in screw tables inside, -0.00,  0.13, 570,  7.953175,  0.048340,  0.000963, 55.10,  0.999998, -0.01, -0.01, 0, 0, 
308, To whom likewise the shadows of the night revealed themselves, to them like life the shadows of the night revealed themselves,  0.00,  0.14, 610, 10.069646,  0.053855,  0.000998, 55.74,  0.999999, -0.02, -0.02, 0, 0, 
309, in the forms their dozing eyes and wandering thoughts suggested, in the forms there dosing eyes and wondering thought suggested, -0.00,  0.14, 610,  9.933020,  0.052810,  0.001073, 55.71,  0.999999,  0.03,  0.03, 0, 0, 
310, Tellson's Bank had a run upon it in the mail, else in spain he the run the pontet in the val,  0.00,  0.15, 610,  7.466252,  0.047318,  0.000952, 55.68,  0.999999, -0.04, -0.04, 0, 0, 
311, As the bank passenger with an arm drawn through the leathern strap, as the bank passenger with an arm drawn frog the leathern strap,  0.00,  0.14, 130, 50.266701,  0.264055,  0.005282, 42.27,  0.999970,  0.00,  0.00, 0, 0, 
312, which did what lay in it to keep him from pounding against the next passenger, which the war lay in it to take him from pounding against the next passenger,  0.00,  0.14, 610, 12.407839,  0.059846,  0.001027, 55.71,  0.999999, -0.02, -0.02, 0, 0, 
313, and driving him into his corner whenever the coach got a special jolt nodded in his place, and driving him into his corner whenever the coach got a special gold nodded in his place,  0.00,  0.14, 610, 15.579844,  0.067517,  0.001016, 55.73,  0.999999,  0.08,  0.08, 0, 0, 
314, with half shut eyes the little coach windows, with half shut eyes the little coat were to,  0.00,  0.14, 610,  7.115459,  0.044488,  0.001084, 55.68,  0.999999, -0.01, -0.01, 0, 0, 
315, and the coach lamp dimly gleaming through them, and the coatlambedthimlygllymingthrough them,  0.00,  0.15, 610,  8.297252,  0.050323,  0.001017, 55.72,  0.999999, -0.01, -0.01, 0, 0, 
316, and the bulky bundle of opposite passenger, and the bolti bundle of opposite passenger, -0.00,  0.14, 610,  7.042507,  0.044449,  0.001005, 55.66,  0.999999,  0.00,  0.00, 0, 0, 
317, became the bank and did a great stroke of business, became the bank any the great stroke of business, -0.00,  0.14, 610,  7.972263,  0.047108,  0.000972, 55.67,  0.999999,  0.00,  0.00, 0, 0, 
318, The rattle of the harness was the chink of money, the rattle of the harness was the think of money, -0.00,  0.14, 90, 46.018375,  0.296686,  0.005948, 39.12,  0.999939,  0.08,  0.08, 0, 0, 
319, and more drafts were honoured in five minutes than even Tellson's, and more dressed for one in five minutes than even fell since, -0.00,  0.15, 610, 11.300829,  0.058820,  0.001095, 55.71,  0.999999,  0.15,  0.15, 0, 0, 
320, with all its foreign and home connection ever paid in thrice the time, with all its foreign and home for nextionevercatinfrice the time, -0.00,  0.14, 610, 11.065571,  0.056614,  0.001053, 55.73,  0.999999, -0.08, -0.08, 0, 0, 
321, Then the strong rooms underground, then the straw rooms under ground, -0.00,  0.14, 590,  7.034460,  0.046344,  0.001102, 55.48,  0.999999,  0.02,  0.02, 0, 0, 
322, at Tellson's with such of their valuable stores and secrets as were known to the passenger, i felt since with such of their valuable stores and secrets as were known to the passenger,  0.00,  0.13, 610, 13.110673,  0.059812,  0.001054, 55.73,  0.999999, -0.01, -0.01, 0, 0, 
323, and it was not a little that he knew about them, and if one is not a little that he knew about them,  0.00,  0.15, 70, 69.888194,  0.433046,  0.009347, 36.87,  0.999897, -0.15, -0.15, 0, 0, 
324, opened before him and he went in among them with the great keys and the feebly burning candle, opened before him and he went in the man them with the great peace and the feebly burning candle, -0.00,  0.15, 610, 14.613107,  0.067270,  0.001098, 55.71,  0.999999, -0.12, -0.12, 0, 0, 
325, and found them safe and strong and sound and still just as he had last seen them, and found them safe and strong and sound and now just as he had last seen them,  0.00,  0.14, 50, 161.184546,  0.741029,  0.012773, 33.97,  0.999799, -0.04, -0.04, 0, 0, 
326, But though the bank was almost always with him, but though the bank was almost always let him,  0.00,  0.14, 30, 165.569664,  0.998063,  0.022318, 29.55,  0.999447, -0.07, -0.07, 0, 0, 
327, and though the coach in a confused way like the presence of pain under an opiate was always with him, and though the coats in the confused way like the presence of cane under an ode as always with him,  0.00,  0.14, 610, 15.864621,  0.068045,  0.001086, 55.70,  0.999999,  0.00,  0.00, 0, 0, 
328, there was another current of impression that never ceased to run all through the night, there was another current of impression that never ceased through an all though the knight, -0.00,  0.15, 90, 88.805958,  0.423896,  0.007246, 39.09,  0.999938,  0.00,  0.00, 0, 0, 
329, He was on his way to dig some one out of a grave, he was on his way to the ecxemblineout of the grave,  0.00,  0.14, 610,  8.592264,  0.050025,  0.000981, 55.71,  0.999999,  0.01,  0.01, 0, 0, 
330, Now which of the multitude of faces that showed themselves before him was the true face of the buried person, now which of the multi of the faces that showed themselves before him was the true face of the buried person,  0.00,  0.13, 610, 15.733864,  0.065520,  0.001143, 55.75,  0.999999,  0.05,  0.05, 0, 0, 
331, the shadows of the night did not indicate, the savans of the night did not indicate, -0.00,  0.13, 610,  6.354682,  0.041128,  0.000887, 55.75,  0.999999, -0.12, -0.12, 0, 0, 
332, but they were all the faces of a man of five and forty by years, but they were long the faces of the man of five and forty by years,  0.00,  0.15, 610, 11.381235,  0.058851,  0.001029, 55.71,  0.999999,  0.02,  0.02, 0, 0, 
333, and they differed principally in the passions they expressed, and they differ principally in the passions they express,  0.00,  0.14, 610,  9.258685,  0.050680,  0.001048, 55.71,  0.999999, -0.14, -0.14, 0, 0, 
334, and in the ghastliness of their worn and wasted state, and in the ghastliness of their worn and lace it state, -0.00,  0.15, 590,  9.432953,  0.054111,  0.001024, 55.43,  0.999999,  0.00,  0.00, 0, 0, 
335, Pride contempt defiance stubbornness submission lamentation succeeded one another so did varieties of sunken cheek cadaverous colour, i contempt defiance toernessofmissinlymentations it seated when another so did the rites of some conceit forthethorestcolor, -0.00,  0.14, 610, 22.929311,  0.082548,  0.001047, 55.69,  0.999999, -0.01, -0.01, 0, 0, 
336, emaciated hands and figures, i may see it ed hand and fiters, -0.00,  0.14, 610,  6.501233,  0.043829,  0.000930, 55.74,  0.999999,  0.03,  0.03, 0, 0, 
337, But the face was in the main one face and every head was prematurely white, but the face was in the main in face and every head was three materilywhite,  0.00,  0.14, 610, 12.069126,  0.059348,  0.000983, 55.72,  0.999999, -0.03, -0.03, 0, 0, 
338, A hundred times the dozing passenger inquired of this spectre, a hundred signs the basing passenger and quired of this specter, -0.00,  0.14, 610, 10.698472,  0.054773,  0.001030, 55.71,  0.999999,  0.04,  0.04, 0, 0, 
339, Buried how long The answer was always the same, there fell a long the answer was always the same,  0.00,  0.15, 610,  8.971055,  0.053430,  0.001247, 55.69,  0.999999, -0.03, -0.03, 0, 0, 
340, Almost eighteen years, almost a feher,  0.00,  0.16, 10, 299.726643,  2.433516,  0.073375, 20.01,  0.995041,  0.01,  0.01, 0, 0, 
341, You had abandoned all hope of being dug out Long ago, you have abandoned all hope of being dug out long ago, -0.00,  0.15, 610,  9.585360,  0.054184,  0.001016, 55.71,  0.999999, -0.13, -0.13, 0, 0, 
342, You know that you are recalled to life They tell me so, you know that you are recontuliftheytell me so, -0.00,  0.15, 610,  9.806175,  0.055652,  0.001100, 55.73,  0.999999, -0.01, -0.01, 0, 0, 
343, I hope you care to live I can't say, i hope he cared to live i can't say, -0.00,  0.13, 610,  6.248627,  0.041201,  0.000875, 55.67,  0.999999,  0.05,  0.05, 0, 0, 
344, Shall I show her to you, sal i so her the,  0.00,  0.15, 610,  4.981533,  0.038922,  0.000988, 55.70,  0.999999,  0.00,  0.00, 0, 0, 
345, Will you come and see her, or you can any,  0.00,  0.14, 10, 303.922294,  2.351270,  0.059897, 19.96,  0.994986,  0.00,  0.00, 0, 0, 
346, The answers to this question were various and contradictory, the answers to this question were various and contributory,  0.00,  0.14, 590, 10.727003,  0.056702,  0.000992, 55.41,  0.999999, -0.04, -0.04, 0, 0, 
347, Sometimes the broken reply was, sin finds the broken replonge,  0.00,  0.14, 610,  6.398072,  0.042868,  0.000952, 55.66,  0.999999, -0.02, -0.02, 0, 0, 
348, Wait it would kill me if I saw her too soon, waited with kill me if i saw her too soon,  0.00,  0.14, 610,  7.922854,  0.048357,  0.001045, 55.72,  0.999999,  0.17,  0.17, 0, 0, 
349, Sometimes it was given in a tender rain of tears and then it was Take me to her, in fine it was given in a tender rain of tears and then it was take me to her,  0.00,  0.14, 610, 13.365485,  0.062766,  0.001015, 55.71,  0.999999,  0.04,  0.04, 0, 0, 
